id,name,category,base_price,ingredients,preparation_time,difficulty
1,Burger Classic,Burger,12.50,"3:0.15,6:0.05,7:1,1:0.08,11:0.02",15,2
2,Burger Deluxe,Burger,16.80,"3:0.18,6:0.08,7:1,1:0.12,11:0.02,13:0.05",18,3
3,Salade César,Salade,9.80,"2:0.2,4:0.12,6:0.06,7:0.5,10:0.02",10,1
4,Salade Saumon,Salade,14.50,"2:0.25,5:0.15,1:0.08,10:0.03,11:0.01",12,2
5,Pizza Margherita,Pizza,11.00,"7:0.3,1:0.15,6:0.12,10:0.02",25,2
6,Pizza Complète,Pizza,15.20,"7:0.3,1:0.18,6:0.15,3:0.1,13:0.08,11:0.02",28,3
7,Pâtes Carbonara,Pâtes,10.50,"8:0.15,3:0.08,6:0.08,10:0.02,12:0.01",20,2
8,Pâtes Bolognaise,Pâtes,12.80,"8:0.15,3:0.12,1:0.1,6:0.05,11:0.02,12:0.01",25,2
9,Risotto Champignons,Riz,13.20,"9:0.18,13:0.15,6:0.08,11:0.02,10:0.02",30,3
10,Poisson Grillé,Poisson,18.90,"5:0.2,2:0.1,1:0.05,10:0.03,12:0.01",22,3
11,Poulet Rôti,Viande,14.60,"4:0.25,15:0.1,11:0.03,10:0.02,12:0.01",35,2
12,Steak Frites,Viande,19.50,"3:0.22,15:0.15,11:0.02,10:0.02",20,2
